approval_year,discipline_scope,project_type,unique_projects
2013,B04,youth_c,171
2013,B05,general,102
2013,B05,joint_fund,3
2013,B05,key,5
2013,B05,regional,15
2013,B05,special,8
2013,B05,youth_c,102
2013,B06,general,174
2013,B06,joint_fund,1
2013,B06,key,5
2013,B06,major_research_plan,5
2013,B06,regional,27
2013,B06,special,10
2013,B06,youth_c,177
2013,B07,general,118
2013,B07,joint_fund,3
2013,B07,key,2
2013,B07,regional,22
2013,B07,special,7
2013,B07,youth_c,93
2013,B08,general,290
2013,B08,joint_fund,19
2013,B08,key,11
2013,B08,major_research_plan,16
2013,B08,regional,37
2013,B08,special,15
2013,B08,youth_c,237
2013,B09,general,17
2013,B09,key,1
2013,B09,regional,2
2013,B09,special,2
2013,B09,youth_c,16
2014,B01,general,299
2014,B01,joint_fund,5
2014,B01,key,17
2014,B01,major_research_plan,1
2014,B01,regional,59
2014,B01,youth_c,283
2014,B02,general,113
2014,B02,joint_fund,4
2014,B02,key,9
2014,B02,major_research_plan,4
2014,B02,regional,19
2014,B02,youth_c,164
2014,B03,general,160
2014,B03,joint_fund,1
2014,B03,key,6
2014,B03,major_research_plan,12
2014,B03,regional,13
2014,B03,youth_c,156
2014,B04,general,153
2014,B04,joint_fund,3
2014,B04,key,8
2014,B04,major_research_plan,6
2014,B04,regional,26
2014,B04,youth_c,187
2014,B05,general,111
2014,B05,joint_fund,6
2014,B05,key,6
2014,B05,major_research_plan,1
2014,B05,regional,16
2014,B05,youth_c,140
2014,B06,general,176
2014,B06,joint_fund,2
2014,B06,key,6
2014,B06,regional,31
2014,B06,youth_c,193
2014,B07,general,95
2014,B07,key,5
2014,B07,major_research_plan,15
2014,B07,regional,23
2014,B07,youth_c,113
2014,B08,general,272
2014,B08,joint_fund,83
2014,B08,key,10
2014,B08,major_research_plan,32
2014,B08,regional,36
2014,B08,youth_c,275
2014,B09,general,17
2014,B09,key,1
2014,B09,regional,1
2014,B09,youth_c,16
2015,B01,general,317
2015,B01,joint_fund,5
2015,B01,key,17
2015,B01,major_research_plan,5
2015,B01,regional,43
2015,B01,youth_c,285
2015,B02,general,140
2015,B02,joint_fund,5
2015,B02,key,7
2015,B02,major_research_plan,26
2015,B02,regional,21
2015,B02,youth_c,137
2015,B03,general,174
2015,B03,joint_fund,5
2015,B03,key,6
2015,B03,major_research_plan,12
2015,B03,regional,16
2015,B03,youth_c,130
2015,B04,general,170
2015,B04,joint_fund,2
2015,B04,key,10
2015,B04,major_research_plan,3
2015,B04,regional,32
2015,B04,youth_c,164
2015,B05,general,137
2015,B05,joint_fund,1
2015,B05,key,6
2015,B05,major_research_plan,1
2015,B05,regional,22
2015,B05,youth_c,142
2015,B06,general,182
2015,B06,joint_fund,1
2015,B06,key,5
2015,B06,major_research_plan,31
2015,B06,regional,33
2015,B06,youth_c,179
2015,B07,general,126
2015,B07,joint_fund,3
2015,B07,key,3
2015,B07,major_research_plan,1
2015,B07,regional,29
2015,B07,youth_c,95
2015,B08,general,305
2015,B08,joint_fund,42
2015,B08,key,11
2015,B08,major_research_plan,33
2015,B08,regional,39
2015,B08,youth_c,262
2015,B09,general,13
2015,B09,regional,3
2015,B09,youth_c,25
2016,B01,general,318
2016,B01,key,16
2016,B01,major_research_plan,12
2016,B01,regional,51
2016,B01,youth_c,313
2016,B02,general,133
2016,B02,joint_fund,1
2016,B02,key,7
2016,B02,major_research_plan,19
2016,B02,regional,19
2016,B02,youth_c,146
2016,B03,general,190
2016,B03,key,5
2016,B03,major_research_plan,20
2016,B03,regional,17
2016,B03,youth_c,118
2016,B04,general,176
2016,B04,key,8
2016,B04,major_research_plan,1
2016,B04,regional,28
2016,B04,youth_c,160
2016,B05,general,113
2016,B05,key,6
2016,B05,major_research_plan,4
2016,B05,regional,21
2016,B05,youth_c,128
2016,B06,general,189
2016,B06,key,5
2016,B06,major_research_plan,10
2016,B06,regional,32
2016,B06,youth_c,192
2016,B07,general,123
2016,B07,key,1
2016,B07,regional,27
