approval_year,discipline_scope,project_type,unique_projects
2010,E07,key,6
2010,E07,major_research_plan,1
2010,E07,regional,9
2010,E07,special,10
2010,E07,youth_c,100
2010,E08,general,283
2010,E08,key,7
2010,E08,major_research_plan,13
2010,E08,regional,19
2010,E08,special,12
2010,E08,youth_c,244
2010,E09,general,104
2010,E09,key,3
2010,E09,major_research_plan,3
2010,E09,regional,14
2010,E09,special,9
2010,E09,youth_c,93
2010,E10,general,114
2010,E10,key,5
2010,E10,regional,11
2010,E10,special,2
2010,E10,youth_c,97
2010,E11,general,40
2010,E11,key,1
2010,E11,special,4
2010,E11,youth_c,44
2011,E01,general,216
2011,E01,joint_fund,1
2011,E01,key,9
2011,E01,major_research_plan,1
2011,E01,regional,25
2011,E01,special,11
2011,E01,youth_c,178
2011,E02,general,292
2011,E02,joint_fund,1
2011,E02,key,10
2011,E02,major_research_plan,15
2011,E02,regional,26
2011,E02,special,14
2011,E02,youth_c,289
2011,E03,general,214
2011,E03,joint_fund,1
2011,E03,key,9
2011,E03,major_research_plan,5
2011,E03,regional,16
2011,E03,special,14
2011,E03,youth_c,183
2011,E04,general,246
2011,E04,joint_fund,63
2011,E04,key,7
2011,E04,regional,34
2011,E04,special,14
2011,E04,youth_c,194
2011,E05,general,535
2011,E05,joint_fund,5
2011,E05,key,9
2011,E05,major_research_plan,18
