segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1992|general|E08|59278|3,1,313,329,17,59278313,59278329
1992|general|E08|59278|3,2,341,365,25,59278341,59278365
1992|general|E08|59278|3,3,367,369,3,59278367,59278369
1992|general|E09|59279|3,1,370,372,3,59279370,59279372
1992|general|E09|59279|3,2,374,395,22,59279374,59279395
1992|general|E09|59279|3,3,398,399,2,59279398,59279399
1992|general|E10|59278|3,1,312,312,1,59278312,59278312
1992|general|E10|59278|3,2,330,340,11,59278330,59278340
1992|general|E10|59279|3,1,396,397,2,59279396,59279397
1992|general|E11|59279|3,1,373,373,1,59279373,59279373
1992|key|E01|59231|3,1,10,13,4,59231010,59231013
1992|key|E01|59231|3,2,30,32,3,59231030,59231032
1992|key|E02|59232|3,1,40,43,4,59232040,59232043
1992|key|E03|59233|3,1,50,53,4,59233050,59233053
1992|key|E03|59233|3,2,60,63,4,59233060,59233063
1992|key|E04|59234|3,1,70,72,3,59234070,59234072
1992|key|E05|59235|3,1,80,82,3,59235080,59235082
1992|key|E05|59235|3,2,90,90,1,59235090,59235090
1992|key|E05|59235|3,3,100,102,3,59235100,59235102
1992|key|E05|59235|3,4,110,112,3,59235110,59235112
1992|key|E05|59235|3,5,120,123,4,59235120,59235123
1992|key|E06|59236|3,1,130,132,3,59236130,59236132
1992|key|E06|59236|3,2,140,143,4,59236140,59236143
1992|key|E08|59238|3,1,150,153,4,59238150,59238153
1992|key|E08|59238|3,2,160,163,4,59238160,59238163
1992|key|E09|59239|3,1,170,173,4,59239170,59239173
1992|regional|E01|59261|3,1,1,1,1,59261001,59261001
1992|regional|E04|59264|3,1,2,3,2,59264002,59264003
1992|regional|E05|59265|3,1,4,4,1,59265004,59265004
1992|regional|E06|59266|3,1,5,5,1,59266005,59266005
1992|regional|E07|59267|3,1,6,6,1,59267006,59267006
1992|regional|E09|59269|3,1,7,8,2,59269007,59269008
1992|special|E01|59223|3,1,1,1,1,59223001,59223001
1992|special|E01|59241|3,1,3,3,1,59241003,59241003
1992|special|E01|59241|3,2,8,8,1,59241008,59241008
1992|special|E01|59281|3,1,1,11,11,59281001,59281011
1992|special|E02|59242|3,1,4,6,3,59242004,59242006
1992|special|E02|59282|3,1,12,29,18,59282012,59282029
1992|special|E03|59243|3,1,2,2,1,59243002,59243002
1992|special|E03|59283|3,1,30,38,9,59283030,59283038
1992|special|E04|59244|3,1,7,7,1,59244007,59244007
1992|special|E05|59249|3,1,1,1,1,59249001,59249001
1992|special|E05|59285|3,1,39,45,7,59285039,59285045
1992|special|E06|59286|3,1,46,53,8,59286046,59286053
